2026-05-22 11:02:28 | WARNING  | student_mgmt | Token validation FAILED — invalid or expired token
2026-05-22 11:02:28 | WARNING  | student_mgmt | RESPONSE GET /metrics -> 401  (5.23 ms)
2026-05-22 11:02:29 | INFO     | student_mgmt | REQUEST  GET /metrics
2026-05-22 11:02:29 | WARNING  | student_mgmt | Token validation FAILED — invalid or expired token
2026-05-22 11:02:29 | WARNING  | student_mgmt | RESPONSE GET /metrics -> 401  (5.08 ms)
2026-05-22 11:02:49 | INFO     | student_mgmt | REQUEST  GET /audit-logs/
2026-05-22 11:02:49 | WARNING  | student_mgmt | Token validation FAILED — invalid or expired token
2026-05-22 11:02:49 | WARNING  | student_mgmt | RESPONSE GET /audit-logs/ -> 401  (5.47 ms)
2026-05-22 11:02:51 | INFO     | student_mgmt | REQUEST  GET /audit-logs/
2026-05-22 11:02:51 | WARNING  | student_mgmt | Token validation FAILED — invalid or expired token
2026-05-22 11:02:51 | WARNING  | student_mgmt | RESPONSE GET /audit-logs/ -> 401  (5.38 ms)
